name,state,region,lat,lon,campuses,id_long,id,locale,ug_enrollment,main_campus,hbcu,women_only,religious_affiliation,admission_rate,class,social_sciences,humanities,physical_sciences,ethnic_gender_studies,comp_sci,avg_faculty_salary,completion_rate,pell_grant,first_gen_completion_4
The College of Wooster,OH,Midwest,40.81046,-81.934674,1,303700,3037,Town,NULL,1,0,0,NA,0.5418,21,0.229,0,0.0794,0.0234,0.0234,8257,0.7461,0.1677,0.715976331
SUNY College at Plattsburgh,NY,New England,44.69293,-73.466536,1,284900,2849,Town,NULL,1,0,0,NA,0.5425,19,0.032,0.0279,0.0181,0.0058,0.0288,7147,0.6805,0.4005,0.587426326
Pennsylvania State University-World Campus,PA,New England,40.832783,-77.841594,23,332900,3329,Rural,NULL,0,0,0,NA,0.5426,18,0.0911,0.0382,0.0142,0.0017,0.1441,12057,0.2927,0.329,0.524297189
Texas Lutheran University,TX,Southwest,29.573261,-97.982669,1,364100,3641,Town,NULL,1,0,0,1,0.5428,22,0.0675,0,0.0169,0,0.0211,7257,0.5324,0.3458,0.460144928
Jacksonville State University,AL,Southeast,33.822938,-85.765321,1,102000,1020,Small City / Suburb,NULL,1,0,0,NA,0.543,18,0.0368,0.059,0.0054,0,0.0253,7122,0.4247,0.3882,0.361673414
Clayton  State University,GA,Southeast,33.594079,-84.328174,1,897600,8976,Large City / Suburb,NULL,1,0,0,NA,0.5436,19,0.0227,0.1644,0.0027,0,0.0599,6625,0.3047,0.5271,0.327586207
Northern Illinois University,IL,Midwest,41.933869,-88.766428,1,173700,1737,Small City / Suburb,NULL,1,0,0,NA,0.5438,16,0.0653,0.0226,0.0223,0,0.038,8301,0.4551,0.446,0.459293395
East Texas Baptist University,TX,Southwest,32.557847,-94.374488,1,356400,3564,Town,NULL,1,0,0,1,0.5449,22,0.0125,0,0.0083,0,0,6947,0.3457,0.4011,0.243478261
Maryville College,TN,Southeast,35.751505,-83.964223,1,350500,3505,Large City / Suburb,NULL,1,0,0,1,0.5452,22,0.1304,0,0.0145,0,0.0097,6765,0.5463,0.4234,0.494023904
Neighborhood Playhouse School of the Theater,NY,New England,40.756613,-73.965332,1,902900,9029,Large City / Suburb,NULL,1,0,0,NA,0.5455,-2,0,0,0,0,0,NA,NULL,0.2041,NA
Avila University,MO,Midwest,38.91339,-94.591758,1,244900,2449,Large City / Suburb,NULL,1,0,0,1,0.5456,19,0.0293,0,0,0,0.0733,6426,0.5,0.4253,0.452095808
San Jose State University,CA,Far West,37.336569,-121.880621,1,115500,1155,Large City / Suburb,NULL,1,0,0,NA,0.5466,18,0.0598,0.0111,0.0169,0,0.0305,10626,0.6491,0.4297,0.559954751
Methodist University,NC,Southeast,35.135058,-78.874426,1,294600,2946,Midsize City / Suburb,NULL,1,0,0,1,0.5469,20,0.0314,0.0079,0.0105,0,0.0183,7261,0.3632,0.4082,0.236170213
California State University-San Bernardino,CA,Far West,34.182622,-117.323801,1,114200,1142,Midsize City / Suburb,NULL,1,0,0,NA,0.5483,18,0.095,0.0588,0.0203,0.0002,0.0348,9779,0.568,0.6364,0.495136492
Maine Maritime Academy,ME,New England,44.389654,-68.804347,1,204400,2044,Rural,NULL,1,0,0,NA,0.5502,22,0,0,0,0,0,11806,0.7574,0.276,0.618421053
Crown College,MN,Midwest,44.885393,-93.743019,1,238300,2383,Rural,NULL,1,0,0,1,0.5507,20,0,0.0427,0,0,0.0047,4993,0.5235,0.4013,0.249011858
Tarleton State University,TX,Southwest,32.214988,-98.214866,1,363100,3631,Town,NULL,1,0,0,NA,0.5507,18,0.0104,0.0347,0.0077,0,0.025,7624,0.4633,0.4158,0.412284223
California State Polytechnic University-Pomona,CA,Far West,34.057912,-117.821476,1,114400,1144,Large City / Suburb,NULL,1,0,0,NA,0.5515,18,0.0537,0.0442,0.0199,0.004,0.0357,10587,0.7111,0.4881,0.555332665
Montreat College,NC,Southeast,35.646577,-82.2976,1,294800,2948,Large City / Suburb,NULL,1,0,0,1,0.5521,20,0,0.0551,0,0,0.0157,5355,0.4271,0.4518,0.366666667
William Penn University,IA,Midwest,41.310111,-92.647095,1,190000,1900,Town,NULL,1,0,0,1,0.5524,22,0.0532,0.0248,0,0,0.0142,5571,0.3504,0.5141,0.171232877
Eastern Illinois University,IL,Midwest,39.479843,-88.175658,1,167400,1674,Town,NULL,1,0,0,NA,0.5531,18,0.0698,0.0958,0.0144,0.0007,0.0144,8379,0.5849,0.3957,0.514175258
